SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
17	23	1	58	22
17	22	1	13	22
17	22	1	9	22
17	22	1	16	21
17	21	1	31	20
17	20	1	26	20
21	20	0	16	21
21	21	0	5	22
21	22	0	35	21
21	21	0	38	20
21	20	0	15	21
21	21	0	6	22
21	22	0	32	21
21	21	0	1	21
16	21	0	44	20
16	20	2	36	20
16	20	1	56	20
21	20	0	0	20
23	20	0	18	20
23	20	0	5	21
23	21	0	5	22
23	22	0	8	22
23	22	0	19	22
23	22	0	10	23
23	23	0	7	22
23	22	0	13	23
23	23	0	29	22
23	22	0	19	23
23	23	1	29	22
23	22	0	12	22
17	22	0	0	22
21	22	0	2	23
21	23	3	42	23
17	23	1	32	22
17	22	1	3	22
17	22	1	16	22
17	22	1	24	21
17	21	1	49	20
17	20	1	12	20
21	20	0	0	20
23	20	0	16	21
23	21	0	4	22
23	22	0	2	22
21	22	0	1	22
21	22	0	33	22
21	22	0	24	21
21	21	1	14	20
21	20	0	14	21
21	21	0	5	22
21	22	4	0	22
21	22	2	50	22
21	22	3	34	23
21	23	3	21	23
17	23	2	42	22
17	22	1	50	22
17	22	1	43	22
17	22	1	23	22
21	22	1	31	21
21	21	0	35	21
16	21	2	13	20
16	20	3	9	20
16	20	1	21	20
21	20	0	0	20
23	20	0	13	20
23	20	0	5	21
23	21	0	5	22
23	22	0	5	22
23	22	0	6	22
23	22	0	5	23
23	23	0	41	22
23	22	0	5	22
17	22	0	0	22
21	22	3	55	23
21	23	1	25	23
17	23	2	4	22
17	22	2	2	22
17	22	2	6	22
17	22	2	6	21
17	21	0	5	21
21	21	0	0	21
23	21	0	0	21
17	21	0	0	21
21	21	0	1	21
23	21	0	8	21
21	21	0	6	22
21	22	2	53	21
21	21	2	28	21
16	21	4	38	20
16	20	2	38	20
16	20	3	4	20
16	20	3	34	19
16	19	3	27	18
16	18	4	11	18
16	18	10	8	18
16	18	4	37	17
16	17	5	27	16
16	16	6	14	16
16	16	6	32	16
21	16	0	2	16
21	16	0	13	16
21	16	0	3	16
21	16	0	5	17
21	17	0	6	18
21	18	0	4	18
21	18	0	10	18
21	18	0	7	19
21	19	0	10	20
21	20	0	13	20
21	20	0	11	20
21	20	0	12	21
21	21	0	23	20
21	20	0	21	21
21	21	0	29	20
21	20	0	18	21
21	21	0	10	22
21	22	0	8	22
17	22	0	4	21
17	21	0	9	20
17	20	0	14	20
17	20	0	27	20
17	20	0	47	19
17	19	1	0	18
17	18	1	15	18
17	18	1	47	18
17	18	2	8	17
17	17	0	47	17
21	17	0	16	18
21	18	0	4	18
21	18	0	6	18
21	18	0	5	19
21	19	0	8	20
21	20	0	9	20
21	20	0	8	20
21	20	0	44	21
21	21	0	22	20
21	20	0	15	21
21	21	0	28	20
21	20	0	21	21
21	21	0	7	22
21	22	0	6	22
21	22	0	0	22
21	22	0	1	22
21	22	0	5	22
21	22	0	6	21
21	21	0	3	20
21	20	0	13	21
21	21	0	6	22
21	22	0	23	21
21	21	0	13	20
21	20	0	13	21
21	21	0	7	22
21	22	0	9	21
21	21	0	11	20
21	20	0	17	21
21	21	1	4	20
21	20	0	15	21
21	21	0	7	22
21	22	0	24	21
21	21	0	19	20
21	20	0	15	21
21	21	0	4	22
21	22	0	27	21
21	21	0	17	20
21	20	0	15	21
21	21	0	5	22
21	22	0	27	21
21	21	0	18	20
21	20	0	15	21
21	21	0	6	22
21	22	0	12	21
21	21	0	26	20
21	20	0	14	21
21	21	4	6	22
21	22	0	48	22
17	22	1	43	21
17	21	1	8	20
17	20	1	16	20
17	20	1	24	20
17	20	0	26	20
21	20	0	0	20
23	20	0	15	20
23	20	0	4	20
23	20	0	5	21
23	21	0	6	22
23	22	0	7	22
23	22	0	8	22
23	22	0	3	22
17	22	0	0	22
21	22	0	26	22
21	22	0	10	22
21	22	0	15	21
21	21	0	34	20
21	20	0	14	21
21	21	0	49	20
21	20	0	14	21
21	21	0	6	22
21	22	0	4	22
21	22	0	11	22
21	22	0	6	21
21	21	0	8	20
21	20	0	15	21
21	21	0	8	22
21	22	0	29	21
21	21	0	23	21
16	21	0	3	20
16	20	0	54	20
16	20	0	22	20
16	20	2	52	20
21	20	0	0	20
23	20	0	13	20
23	20	0	2	20
23	20	0	5	21
23	21	0	4	22
23	22	0	5	22
23	22	0	7	22
23	22	0	8	22
17	22	0	0	22
